"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","Class"
"36",195,255,133,81,57,112,120,95,69,53,73,75,67,56,46,53,54,51,46,40,42,42,41,38,34,112,120,95,69,53,86,90,78,62,49,64,66,60,52,44,50,50,48,43,38,40,40,39,36,33,73,75,67,56,46,64,66,60,52,44,53,54,51,46,40,44,44,43,39,35,37,37,36,34,31,53,54,51,46,40,50,50,48,43,38,44,44,43,39,35,38,39,37,35,32,33,33,33,31,29,42,42,41,38,34,40,40,39,36,33,37,37,36,34,31,33,33,33,31,29,30,30,29,28,27,1
"37",194,255,132,81,57,111,120,95,69,53,73,75,67,56,46,53,54,51,45,40,42,42,41,38,34,111,120,95,69,53,86,90,78,62,49,64,66,60,52,44,49,50,48,43,38,40,40,39,36,33,73,75,67,56,46,64,66,60,52,44,53,54,51,46,40,44,44,43,39,35,37,37,36,34,31,53,54,51,45,40,49,50,48,43,38,44,44,43,39,35,38,39,37,35,32,33,33,33,31,29,42,42,41,38,34,40,40,39,36,33,37,37,36,34,31,33,33,33,31,29,30,30,29,28,27,1
"39",124,238,255,135,87,96,126,129,100,74,71,81,82,73,61,55,59,59,56,49,44,46,46,45,41,96,126,129,100,74,81,97,98,83,66,64,71,72,65,56,51,55,55,52,47,42,44,44,43,40,71,81,82,73,61,64,71,72,65,56,55,59,60,56,50,46,49,49,47,43,39,41,41,40,37,55,59,59,56,49,51,55,55,52,47,46,49,49,47,43,41,42,43,41,38,36,37,37,36,34,44,46,46,45,41,42,44,44,43,40,39,41,41,40,37,36,37,37,36,34,32,33,33,32,31,0
"40",133,255,184,104,72,94,119,109,82,62,67,74,72,62,52,51,54,53,49,43,40,42,41,39,36,94,119,109,82,62,77,89,85,70,56,60,65,63,56,48,47,50,49,46,41,39,40,40,38,35,67,74,72,62,52,60,65,63,56,48,51,54,53,49,43,42,44,44,41,38,36,37,37,35,33,51,54,53,49,43,47,50,49,46,41,42,44,44,41,38,37,38,38,36,34,32,33,33,32,30,40,42,41,39,36,39,40,40,38,35,36,37,37,35,33,32,33,33,32,30,29,30,30,29,27,0
"41",183,255,133,80,56,108,118,94,69,52,71,73,66,55,45,52,53,50,45,39,41,41,40,37,33,108,118,94,69,52,84,88,77,61,48,62,64,59,51,43,48,49,47,42,37,39,39,38,36,32,71,73,66,55,45,62,64,59,51,43,52,53,50,45,39,43,43,42,38,35,36,36,35,33,31,52,53,50,45,39,48,49,47,42,37,43,43,42,38,35,37,38,37,34,31,32,33,32,30,28,41,41,40,37,33,39,39,38,36,32,36,36,35,33,31,32,33,32,30,28,29,29,29,28,26,1
"42",196,255,131,81,57,112,120,95,69,53,73,75,67,56,46,53,54,51,46,40,42,42,41,38,34,112,120,95,69,53,87,90,78,62,49,64,66,60,52,44,50,50,48,43,38,40,40,39,36,33,73,75,67,56,46,64,66,60,52,44,53,54,51,46,40,44,45,43,39,35,37,37,36,34,31,53,54,51,46,40,50,50,48,43,38,44,45,43,39,35,38,39,37,35,32,33,33,33,31,29,42,42,41,38,34,40,40,39,36,33,37,37,36,34,31,33,33,33,31,29,30,30,29,28,27,0
"43",165,255,139,84,58,102,116,95,70,53,68,72,66,55,45,50,52,49,44,39,39,40,39,36,33,102,116,95,70,53,80,86,76,61,49,60,63,59,51,43,47,48,46,42,37,38,38,37,35,32,68,72,66,55,45,60,63,59,51,43,50,52,49,44,39,42,42,41,38,34,35,35,35,33,30,50,52,49,44,39,47,48,46,42,37,42,42,41,38,34,36,37,36,34,31,31,32,31,30,28,39,40,39,36,33,38,38,37,35,32,35,35,35,33,30,31,32,31,30,28,28,28,28,27,26,0
"44",138,255,178,99,65,95,118,106,79,59,67,74,70,60,50,50,53,52,47,42,40,41,41,38,35,95,118,106,79,59,77,88,83,68,54,60,64,62,55,46,47,49,48,44,40,38,39,39,37,34,67,74,70,60,50,60,64,62,55,46,50,53,52,47,42,42,44,43,40,36,35,36,36,34,32,50,53,52,47,42,47,49,48,44,40,42,44,43,40,36,37,38,37,35,33,32,33,32,31,29,40,41,41,38,35,38,39,39,37,34,35,36,36,34,32,32,33,32,31,29,29,29,29,28,27,0
"45",174,255,136,83,58,105,117,94,69,53,69,73,66,55,46,51,52,50,45,39,40,41,40,37,33,105,117,94,69,53,82,87,77,61,49,61,64,59,51,43,48,49,47,42,37,38,39,38,35,32,69,73,66,55,46,61,64,59,51,43,51,52,50,45,39,42,43,42,38,35,35,36,35,33,31,51,52,50,45,39,48,49,47,42,37,42,43,42,38,35,37,37,36,34,31,32,32,32,30,28,40,41,40,37,33,38,39,38,35,32,35,36,35,33,31,32,32,32,30,28,29,29,28,27,26,0
"47",192,255,133,81,57,111,120,95,69,53,72,75,67,56,46,53,54,51,45,39,41,42,40,38,34,111,120,95,69,53,86,90,78,62,49,64,65,60,52,43,49,50,48,43,38,40,40,39,36,33,72,75,67,56,46,64,65,60,52,43,53,54,51,45,39,44,44,42,39,35,37,37,36,34,31,53,54,51,45,39,49,50,48,43,38,44,44,42,39,35,38,38,37,35,32,33,33,32,31,29,41,42,40,38,34,40,40,39,36,33,37,37,36,34,31,33,33,32,31,29,30,30,29,28,26,1
"48",200,255,131,81,57,114,121,95,69,53,74,76,68,56,46,54,55,51,46,40,42,43,41,38,34,114,121,95,69,53,88,91,78,62,49,65,66,61,52,44,50,51,48,43,38,40,41,39,37,33,74,76,68,56,46,65,66,61,52,44,54,55,51,46,40,44,45,43,40,36,37,37,36,34,31,54,55,51,46,40,50,51,48,43,38,44,45,43,40,36,39,39,38,35,32,34,34,33,31,29,42,43,41,38,34,40,41,39,37,33,37,37,36,34,31,34,34,33,31,29,30,30,30,28,27,1
"49",197,255,133,82,58,113,121,95,70,53,73,76,68,57,47,54,55,51,46,40,42,43,41,38,34,113,121,95,70,53,87,91,78,62,50,65,66,61,52,44,50,51,48,43,38,40,41,39,37,33,73,76,68,57,47,65,66,61,52,44,54,55,51,46,40,44,45,43,40,36,37,37,36,34,31,54,55,51,46,40,50,51,48,43,38,44,45,43,40,36,39,39,38,35,32,34,34,33,31,29,42,43,41,38,34,40,41,39,37,33,37,37,36,34,31,34,34,33,31,29,30,30,30,28,27,1
"52",156,255,208,123,93,107,129,121,95,75,76,83,81,72,61,58,61,60,56,50,46,48,48,45,42,107,129,121,95,75,87,99,95,81,66,68,73,72,65,56,54,57,56,53,48,44,46,46,44,40,76,83,81,72,61,68,73,72,65,56,58,61,60,56,50,49,50,50,47,44,41,42,42,40,38,58,61,60,56,50,54,57,56,53,48,49,50,50,47,44,43,44,44,42,39,37,38,38,37,35,46,48,48,45,42,44,46,46,44,40,41,42,42,40,38,37,38,38,37,35,34,34,34,33,32,0
"54",108,202,255,136,82,85,114,122,97,71,64,74,77,69,57,50,54,55,52,46,40,43,43,42,38,85,114,122,97,71,73,88,92,79,63,58,66,67,62,53,47,51,51,49,44,39,41,41,40,37,64,74,77,69,57,58,66,67,62,53,50,54,55,52,46,42,45,45,44,40,36,38,38,37,35,50,54,55,52,46,47,51,51,49,44,42,45,45,44,40,37,39,39,38,36,33,34,34,33,32,40,43,43,42,38,39,41,41,40,37,36,38,38,37,35,33,34,34,33,32,30,30,31,30,29,0
"57",85,148,255,154,91,71,97,115,99,73,56,66,71,67,57,45,49,51,50,45,36,39,40,39,37,71,97,115,99,73,62,77,86,78,64,51,59,62,59,52,42,46,48,46,43,35,37,38,38,35,56,66,71,67,57,51,59,62,59,52,45,49,51,50,45,38,41,42,41,38,33,35,35,35,33,45,49,51,50,45,42,46,48,46,43,38,41,42,41,38,34,36,37,36,34,30,31,32,31,30,36,39,40,39,37,35,37,38,38,35,33,35,35,35,33,30,31,32,31,30,27,28,28,28,27,0
"58",132,255,232,127,88,99,128,126,97,74,72,82,81,72,60,55,59,59,55,49,44,46,47,44,41,99,128,126,97,74,82,97,97,82,66,65,72,72,65,56,52,55,55,52,47,43,44,44,43,40,72,82,81,72,60,65,72,72,65,56,55,59,59,55,49,47,49,49,47,43,39,41,41,40,37,55,59,59,55,49,52,55,55,52,47,47,49,49,47,43,41,43,43,41,38,36,37,37,36,34,44,46,47,44,41,43,44,44,43,40,39,41,41,40,37,36,37,37,36,34,32,33,33,32,31,0
"59",134,255,204,128,108,98,125,120,97,80,72,81,80,73,63,55,59,59,56,51,45,47,47,45,42,98,125,120,97,80,82,96,94,82,70,65,71,71,66,58,52,55,55,53,48,43,45,45,43,41,72,81,80,73,63,65,71,71,66,58,55,59,59,56,51,47,49,49,47,44,40,41,41,40,38,55,59,59,56,51,52,55,55,53,48,47,49,49,47,44,41,43,43,42,39,36,37,38,37,35,45,47,47,45,42,43,45,45,43,41,40,41,41,40,38,36,37,38,37,35,33,34,34,33,32,0
"60",134,255,193,115,85,96,121,114,88,69,69,77,75,66,56,52,56,55,51,46,42,44,44,42,38,96,121,114,88,69,79,92,89,75,61,62,67,66,60,52,49,52,52,48,44,40,42,42,40,37,69,77,75,66,56,62,67,66,60,52,52,56,55,51,46,44,46,46,44,40,37,39,38,37,35,52,56,55,51,46,49,52,52,48,44,44,46,46,44,40,39,40,40,38,36,34,35,35,34,32,42,44,44,42,38,40,42,42,40,37,37,39,38,37,35,34,35,35,34,32,30,31,31,30,29,0
"61",108,202,255,133,82,85,114,122,96,70,64,74,76,68,57,50,54,55,52,46,40,43,43,41,38,85,114,122,96,70,72,88,92,79,63,58,65,67,61,53,47,50,51,48,44,39,41,41,40,37,64,74,76,68,57,58,65,67,61,53,50,54,55,52,46,42,45,45,43,40,36,37,38,37,34,50,54,55,52,46,47,50,51,48,44,42,45,45,43,40,37,39,39,38,36,33,34,34,33,32,40,43,43,41,38,39,41,41,40,37,36,37,38,37,34,33,34,34,33,32,29,30,30,30,29,0
"62",89,158,255,146,92,73,100,116,98,73,57,68,72,67,57,45,50,52,50,45,37,40,41,40,37,73,100,116,98,73,64,79,87,78,64,52,60,63,60,52,43,47,48,47,43,36,38,39,38,36,57,68,72,67,57,52,60,63,60,52,45,50,52,50,45,39,42,43,42,39,33,35,36,35,33,45,50,52,50,45,43,47,48,47,43,39,42,43,42,39,34,36,37,36,34,30,32,32,32,30,37,40,41,40,37,36,38,39,38,36,33,35,36,35,33,30,32,32,32,30,27,28,29,28,28,0
"64",132,254,255,139,93,101,132,133,103,78,74,85,85,76,63,57,62,62,58,52,46,48,49,47,43,101,132,133,103,78,84,101,102,86,69,67,74,75,68,59,54,57,58,54,49,44,46,46,45,41,74,85,85,76,63,67,74,75,68,59,57,62,62,58,52,48,51,51,49,45,41,43,43,41,39,57,62,62,58,52,54,57,58,54,49,48,51,51,49,45,43,44,44,43,40,37,38,39,38,36,46,48,49,47,43,44,46,46,45,41,41,43,43,41,39,37,38,39,38,36,34,34,35,34,32,0
"66",174,255,136,82,58,105,117,94,69,52,69,73,66,55,45,51,52,50,44,39,40,41,39,37,33,105,117,94,69,52,82,87,76,61,49,61,63,59,51,43,47,48,46,42,37,38,39,38,35,32,69,73,66,55,45,61,63,59,51,43,51,52,50,45,39,42,43,41,38,34,35,36,35,33,30,51,52,50,44,39,47,48,46,42,37,42,43,41,38,34,37,37,36,34,31,32,32,32,30,28,40,41,39,37,33,38,39,38,35,32,35,36,35,33,30,32,32,32,30,28,29,29,28,27,26,1
"68",147,255,150,86,59,96,114,97,71,53,65,70,66,55,46,49,51,49,44,38,38,39,38,36,33,96,114,97,71,53,76,85,77,62,49,58,61,58,51,43,45,47,45,42,37,37,38,37,35,32,65,70,66,55,46,58,61,58,51,43,49,51,49,44,39,40,41,40,38,34,34,35,34,32,30,49,51,49,44,38,45,47,45,42,37,40,41,40,38,34,35,36,35,33,31,31,31,31,29,28,38,39,38,36,33,37,38,37,35,32,34,35,34,32,30,31,31,31,29,28,27,28,28,27,25,1
"70",170,255,137,82,57,103,116,94,69,52,69,72,66,55,45,50,52,49,44,39,40,40,39,36,33,103,116,94,69,52,81,87,76,61,48,61,63,59,51,43,47,48,46,42,37,38,39,37,35,32,69,72,66,55,45,61,63,59,51,43,51,52,49,44,39,42,43,41,38,34,35,35,35,33,30,50,52,49,44,39,47,48,46,42,37,42,43,41,38,34,36,37,36,34,31,32,32,31,30,28,40,40,39,36,33,38,39,37,35,32,35,35,35,33,30,32,32,31,30,28,28,29,28,27,26,0
"73",131,255,213,113,74,96,124,118,88,65,69,78,76,66,55,53,56,56,51,45,42,44,44,41,38,96,124,118,88,65,79,93,91,75,59,62,68,67,60,51,49,52,52,48,43,40,42,42,40,37,69,78,76,66,55,62,68,67,60,51,53,56,56,51,45,44,46,46,43,39,37,39,38,37,34,53,56,56,51,45,49,52,52,48,43,44,46,46,43,39,39,40,40,38,35,34,35,35,33,32,42,44,44,41,38,40,42,42,40,37,37,39,38,37,34,34,35,35,33,32,30,31,31,30,29,0
"74",136,255,167,93,62,94,115,102,75,56,65,71,68,58,48,49,51,50,46,40,39,40,39,37,34,94,115,102,75,56,76,86,80,65,51,58,62,60,53,45,46,48,47,43,38,37,38,38,36,33,65,71,68,58,48,58,62,60,53,45,49,51,50,46,40,41,42,41,39,35,34,35,35,33,31,49,51,50,46,40,46,48,47,43,38,41,42,41,39,35,36,37,36,34,32,31,32,31,30,28,39,40,39,37,34,37,38,38,36,33,34,35,35,33,31,31,32,31,30,28,28,28,28,27,26,0
"76",204,255,133,82,58,115,122,96,70,54,75,77,69,57,47,54,55,52,46,40,43,43,41,38,35,115,122,96,70,54,89,92,79,63,50,66,67,61,53,44,51,51,49,44,39,41,41,40,37,34,75,77,69,57,47,66,67,61,53,44,55,55,52,46,40,45,45,44,40,36,38,38,37,35,32,54,55,52,46,40,51,51,49,44,39,45,45,44,40,36,39,39,38,36,33,34,34,33,32,30,43,43,41,38,35,41,41,40,37,34,38,38,37,35,32,34,34,33,32,30,30,31,30,29,27,1
"77",189,255,133,81,57,110,119,95,69,53,72,74,67,56,46,53,54,51,45,39,41,42,40,37,34,110,119,95,69,53,85,89,77,62,49,63,65,60,52,43,49,50,47,43,38,39,40,39,36,33,72,74,67,56,46,63,65,60,52,43,53,54,51,45,39,43,44,42,39,35,36,37,36,34,31,53,54,51,45,39,49,50,47,43,38,43,44,42,39,35,38,38,37,35,32,33,33,32,31,29,41,42,40,37,34,39,40,39,36,33,36,37,36,34,31,33,33,32,31,29,29,30,29,28,26,1
"78",140,255,156,89,61,94,114,99,73,55,65,70,66,56,47,48,51,49,45,39,38,39,39,36,33,94,114,99,73,55,76,85,78,63,50,58,62,59,52,44,45,47,46,42,37,37,38,37,35,32,65,70,66,56,47,58,62,59,52,44,48,51,49,45,39,40,42,41,38,34,34,35,34,33,30,48,51,49,45,39,45,47,46,42,37,40,42,41,38,34,35,36,36,34,31,31,31,31,30,28,38,39,39,36,33,37,38,37,35,32,34,35,34,33,30,31,31,31,30,28,28,28,28,27,25,0
"79",161,255,141,85,61,101,115,95,71,54,68,72,66,56,46,50,52,49,45,39,40,40,39,37,33,101,115,95,71,54,79,86,77,62,49,60,63,59,51,43,47,48,46,42,37,38,38,38,35,32,68,72,66,56,46,60,63,59,51,43,50,52,49,45,39,42,42,41,38,35,35,35,35,33,30,50,52,49,45,39,47,48,46,42,37,42,42,41,38,35,36,37,36,34,31,32,32,31,30,28,40,40,39,37,33,38,38,38,35,32,35,35,35,33,30,32,32,31,30,28,28,29,28,27,26,0
