"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","Class"
"22",9,10,10,11,11,11,10,9,9,10,10,11,11,11,10,9,9,9,10,10,9,9,9,9,9,9,10,9,10,10,10,10,10,10,10,10,9,10,9,10,10,9,9,9,10,11,9,9,9,9,9,10,9,9,11,7,10,8,9,9,8,9,11,8,0
"24",10,9,9,9,10,10,9,10,8,10,10,10,10,10,9,10,8,9,10,9,9,10,10,10,9,9,9,9,10,10,10,10,8,9,9,9,9,9,9,9,8,10,10,10,9,10,10,9,9,8,9,9,9,8,9,10,9,9,9,9,8,8,9,9,0
"25",9,9,9,9,9,9,9,9,9,8,9,10,9,8,8,9,11,6,8,8,8,10,9,9,18,9,9,9,9,9,9,9,11,18,8,10,9,9,9,8,14,7,10,9,9,8,9,8,12,16,13,9,9,9,9,9,8,9,5,16,8,9,9,9,0
"26",9,8,9,9,9,8,31,13,9,8,9,9,9,10,17,28,9,8,9,9,8,8,7,9,9,9,9,8,9,8,9,10,8,9,9,9,9,8,9,10,8,9,9,8,8,9,8,8,8,9,8,8,8,9,9,9,8,8,9,8,9,9,8,8,0
"27",9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,8,9,9,8,9,8,9,9,9,8,9,9,8,9,9,8,9,9,9,9,9,9,9,17,10,9,10,9,8,9,10,8,11,11,10,10,7,9,9,12,8,9,9,17,8,29,11,0
"28",8,9,9,9,9,10,9,9,9,8,8,9,9,9,9,8,9,9,9,8,9,9,9,8,10,8,8,9,9,9,9,9,9,9,9,9,8,9,9,9,20,18,10,9,9,8,8,9,9,11,18,10,9,8,8,9,9,10,8,31,16,30,10,9,0
"29",8,8,8,8,8,8,8,8,8,8,8,8,7,9,8,8,9,10,8,7,6,8,6,7,7,8,9,27,7,10,9,8,8,7,22,30,7,19,13,9,8,9,8,7,7,8,6,9,8,8,8,8,10,7,6,30,8,8,9,8,9,8,7,17,0
"30",8,9,9,8,8,8,9,9,8,9,9,9,9,9,10,9,9,8,9,9,9,9,8,8,29,8,7,9,10,9,9,8,9,10,18,9,8,10,8,8,9,8,8,9,9,10,21,9,9,9,9,9,9,10,10,20,8,10,9,9,9,9,9,9,0
"31",8,7,7,8,7,7,7,8,8,7,7,7,7,7,7,8,7,7,7,7,7,8,7,6,8,7,8,7,7,7,7,8,7,8,8,8,9,7,7,7,7,7,8,7,7,7,7,7,7,7,8,7,8,7,7,7,6,7,7,7,6,7,7,7,1
"32",8,9,8,9,8,8,8,9,9,10,9,8,9,8,9,9,8,7,6,10,8,8,9,8,22,9,10,7,8,9,9,9,28,13,15,6,5,9,7,7,8,9,7,14,16,20,10,9,9,8,8,9,9,23,17,16,9,8,9,9,8,9,10,8,0
"34",6,8,8,8,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,7,7,6,7,8,7,8,6,7,7,7,7,6,8,7,6,8,7,7,7,6,7,7,7,7,7,7,7,6,6,6,7,7,7,7,6,6,7,7,7,7,7,7,7,1
"36",6,8,7,6,8,7,7,7,7,8,7,7,6,6,7,7,6,7,7,6,7,7,7,7,7,7,7,7,8,8,6,8,7,8,7,7,7,7,7,8,7,7,7,7,7,7,6,7,7,7,8,7,6,7,8,7,7,7,8,8,8,8,6,7,1
"37",8,8,7,7,7,7,7,8,7,7,7,6,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,8,6,7,6,7,7,7,7,7,6,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,8,7,7,1
"39",13,11,12,13,12,12,12,13,11,12,13,12,13,12,13,14,11,13,13,12,14,13,13,14,12,12,12,11,13,12,11,12,13,12,13,13,13,13,13,14,12,10,13,14,15,13,12,12,14,13,13,15,12,12,13,13,12,12,12,12,12,13,13,13,0
"40",10,10,11,11,10,10,11,11,10,11,10,11,11,10,11,11,11,10,11,10,10,10,10,11,11,10,11,11,9,11,10,11,11,10,10,11,10,10,10,11,11,11,10,10,10,11,11,11,11,10,11,11,11,11,11,11,11,10,11,11,12,11,11,10,0
"41",7,7,7,7,8,8,7,7,7,7,8,7,7,8,7,8,7,8,8,7,7,7,7,8,7,8,7,7,7,7,7,7,7,7,8,7,8,7,7,8,7,7,7,8,8,8,8,7,8,7,7,8,7,8,7,7,7,7,7,7,7,7,7,8,1
"42",7,6,7,8,7,6,8,8,7,8,7,6,8,7,6,7,6,8,8,7,8,8,7,7,7,7,7,7,6,7,8,8,7,7,7,7,8,7,8,8,6,7,6,6,7,6,7,7,8,8,8,7,8,7,7,7,8,8,8,7,8,8,7,7,0
"43",8,6,8,7,8,8,9,31,8,7,8,7,8,8,8,6,9,9,7,7,7,7,7,7,8,7,8,8,7,8,9,9,7,8,8,7,9,8,8,7,8,8,7,8,7,8,7,9,8,9,7,7,8,7,7,8,7,8,8,8,8,8,8,8,0
"44",8,9,8,10,9,10,8,9,7,8,8,10,9,10,9,10,7,8,8,10,9,10,10,10,7,9,9,11,9,10,9,10,8,9,9,10,8,9,8,9,7,9,8,10,8,9,8,10,7,9,8,9,7,9,9,10,8,9,8,9,7,8,9,10,0
"45",8,8,8,7,8,8,8,7,8,7,7,8,7,8,8,7,8,8,8,7,7,8,8,7,8,8,7,8,8,7,7,7,8,7,8,7,8,8,8,8,8,7,8,7,8,8,7,8,8,8,8,7,7,8,7,8,8,8,8,8,7,8,8,8,0
"47",7,7,8,7,7,7,7,7,7,7,7,8,7,6,8,7,7,7,7,7,7,7,8,7,7,7,7,7,8,7,7,7,6,6,7,8,7,7,8,7,7,7,8,8,7,6,7,7,7,13,8,8,8,8,7,7,7,7,6,8,7,7,7,7,1
"48",7,7,7,8,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,7,7,6,7,6,7,8,7,7,6,6,7,7,7,8,7,8,7,7,7,7,7,7,7,8,7,7,8,8,1
"49",7,7,7,7,7,7,7,7,7,7,8,6,7,7,7,7,7,8,6,8,7,7,7,6,8,7,6,7,6,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,8,7,7,8,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,1
"52",11,11,11,11,11,11,12,11,11,11,11,12,12,11,12,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,12,11,10,11,10,11,11,11,12,12,12,11,11,12,12,11,11,11,12,13,11,12,10,12,12,12,12,11,13,13,12,12,13,12,0
"54",12,14,12,11,12,13,13,12,15,9,15,13,13,13,12,14,13,14,13,12,13,12,13,12,14,11,14,13,12,13,12,12,13,12,12,12,12,14,12,11,12,13,12,13,12,13,14,12,11,13,12,12,13,14,13,14,11,13,11,12,13,12,13,12,0
"57",12,16,15,14,15,15,15,15,15,17,16,15,16,15,15,15,14,15,15,15,15,15,15,16,15,18,14,15,16,15,16,15,14,16,31,19,15,16,15,15,14,16,21,17,15,16,15,15,15,15,15,31,23,16,16,15,14,14,16,15,18,16,15,15,0
"58",12,11,11,11,12,31,14,11,12,11,11,11,10,30,10,12,12,11,11,12,9,24,13,10,12,12,12,12,11,10,31,11,11,11,12,12,10,12,31,11,11,10,11,11,12,12,30,11,12,12,12,12,11,12,25,12,11,12,11,11,11,12,10,14,0
"59",13,13,29,31,19,29,22,13,10,9,20,31,30,27,30,20,11,9,13,25,31,31,27,31,11,12,11,9,31,31,31,31,11,10,13,11,11,31,31,28,11,11,11,11,11,16,31,30,11,11,11,12,11,11,11,31,11,11,10,10,11,11,12,18,0
"60",11,11,11,11,30,16,11,11,11,10,11,10,30,13,11,11,11,10,11,11,27,23,12,11,10,10,11,11,31,13,10,10,11,10,10,11,20,10,9,11,11,11,10,10,11,27,9,11,11,11,10,11,8,30,11,10,10,10,10,11,10,31,15,10,0
"61",14,14,13,13,13,13,14,14,14,14,13,14,14,13,13,13,14,12,14,14,14,13,13,14,14,11,14,13,14,13,14,14,14,31,14,14,13,14,14,14,13,14,13,14,13,14,13,15,13,14,12,14,14,13,14,14,13,13,15,13,14,13,14,14,0
"62",13,13,13,13,13,12,13,13,13,13,13,13,13,12,13,13,13,12,17,13,12,13,13,15,13,14,17,22,13,12,12,12,13,13,13,13,31,13,13,14,12,14,13,13,13,31,14,13,13,13,14,14,13,14,31,20,13,14,14,14,14,14,15,23,0
"64",12,12,12,12,11,12,12,12,11,13,12,12,12,12,12,11,12,12,12,12,11,13,12,13,12,12,12,12,12,12,11,11,12,11,12,12,12,12,12,12,11,11,11,12,12,12,12,12,11,11,12,13,12,12,11,12,12,11,13,12,12,12,12,13,0
"66",8,9,8,9,8,7,9,8,8,8,8,8,8,8,8,9,8,7,9,8,8,8,8,8,8,9,9,8,8,8,7,8,8,9,8,9,7,8,8,8,9,8,8,9,8,7,8,8,9,8,7,8,8,8,7,7,9,8,7,8,8,8,8,8,1
"68",10,10,10,11,10,11,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,11,10,10,10,10,10,9,10,9,10,10,9,9,10,11,10,10,10,9,9,10,10,10,9,10,10,9,8,10,10,10,9,10,11,10,10,10,1
"70",9,8,8,8,8,8,9,8,7,9,8,8,8,8,8,8,8,9,8,8,7,8,8,8,8,6,7,8,8,7,8,8,8,10,12,11,13,15,14,16,9,8,8,7,8,9,7,8,8,7,9,8,9,8,8,8,8,8,8,8,8,8,8,7,0
"73",12,11,12,11,12,11,12,12,12,12,12,12,11,12,12,11,11,12,11,12,11,11,11,11,12,11,11,11,11,12,12,11,12,13,11,12,12,12,12,12,11,12,12,12,12,11,12,11,13,11,12,12,11,12,11,11,12,12,12,11,12,12,12,12,0
"74",10,10,11,9,10,9,10,10,9,10,10,10,10,10,10,10,9,10,10,11,11,10,10,10,10,10,9,10,10,11,10,10,10,10,10,10,11,11,10,9,10,10,10,10,9,10,10,9,10,11,10,10,9,10,9,10,10,10,10,10,9,10,8,9,0
"76",6,7,7,5,7,6,6,7,6,7,6,7,7,8,6,7,7,7,7,7,7,7,7,7,7,7,6,7,8,7,7,7,6,7,6,7,7,7,7,8,6,6,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,1
"77",7,7,7,7,7,7,8,7,7,7,7,8,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,7,8,7,8,7,7,7,6,7,7,8,7,7,7,7,7,9,7,7,7,8,6,7,8,7,7,8,7,7,8,7,7,8,8,8,7,7,1
"78",11,10,10,11,10,10,10,9,9,9,9,11,9,10,10,10,9,9,10,10,9,9,10,10,9,9,10,9,11,10,10,10,11,10,10,10,10,10,10,10,11,10,10,9,9,10,9,22,11,10,10,9,9,10,10,10,9,10,9,10,10,10,10,10,0
"79",8,9,9,8,9,9,9,9,8,8,8,9,9,8,8,9,9,9,8,8,8,8,8,10,8,8,9,8,9,8,9,9,8,9,8,8,8,8,9,8,9,9,8,7,8,8,8,9,9,8,9,8,8,8,9,9,8,8,8,8,9,8,8,8,0
"80",11,12,11,12,11,11,11,11,12,13,13,12,12,11,11,10,11,13,13,12,13,12,10,10,12,13,12,12,11,12,11,11,13,11,12,12,12,11,12,9,13,13,11,11,13,11,12,11,13,13,12,13,13,11,11,12,13,12,13,12,10,11,10,14,1
"81",7,8,7,8,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,8,7,7,7,7,7,7,8,8,7,7,7,7,7,7,8,8,7,7,8,7,8,7,7,8,7,7,8,8,7,7,7,8,8,7,7,8,7,8,8,1
"82",7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,8,7,7,1
"83",8,7,8,8,8,8,8,7,8,7,7,7,7,8,8,8,8,7,7,6,6,8,7,7,8,7,8,7,7,8,8,8,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,8,7,8,7,7,8,8,8,8,6,8,8,7,8,7,8,8,1
"84",7,7,8,6,7,7,7,8,7,7,8,8,7,8,7,7,7,7,7,8,7,7,8,7,7,7,7,7,7,7,7,8,7,7,7,7,7,8,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,8,7,6,7,7,8,8,1
"85",7,7,7,7,7,7,8,8,7,7,8,7,8,7,8,7,7,7,8,8,7,7,7,8,7,8,7,8,6,7,7,7,7,7,8,8,8,7,8,8,7,8,7,7,7,8,9,7,6,6,8,7,7,9,7,7,6,7,8,7,7,7,7,8,1
"87",8,7,7,8,7,7,7,8,7,7,6,8,7,7,7,8,9,7,6,8,7,7,7,8,8,7,7,8,7,7,7,7,8,7,8,8,7,7,7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,7,6,8,8,8,7,8,7,8,7,7,1
"88",8,7,7,7,6,7,8,7,7,6,7,7,7,7,8,8,8,7,6,6,7,6,7,6,7,6,7,6,6,6,7,7,6,6,7,7,7,6,6,6,7,7,6,6,6,6,7,7,7,7,6,7,7,7,6,7,7,8,7,7,6,7,7,7,1
"89",7,7,8,7,6,7,8,8,7,8,8,7,8,7,8,8,7,8,8,7,8,7,7,7,7,8,7,7,8,8,8,8,7,7,7,8,7,7,8,8,7,7,7,8,8,7,7,7,7,8,8,7,7,6,7,8,7,8,8,7,7,7,8,8,1
"90",6,8,7,7,8,7,8,7,7,7,7,7,7,7,6,7,8,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,6,8,7,6,7,7,7,6,7,7,7,7,7,7,8,8,5,7,6,7,7,6,7,6,7,7,7,7,6,6,6,6,1
"93",7,5,6,7,7,7,6,6,7,6,7,6,7,7,8,7,7,7,7,6,6,7,7,7,8,6,6,7,7,7,7,7,8,6,6,7,8,7,7,7,7,7,6,6,6,7,7,6,7,7,7,7,7,7,6,6,7,7,6,7,7,7,6,6,1
"95",9,10,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,8,9,9,8,9,9,8,10,9,8,10,8,10,9,7,10,6,8,10,10,10,8,10,10,10,8,10,8,8,11,0,8,0,0,31,9,9,9,31,1,0,9,31,7,8,9,0
"96",11,10,11,11,10,11,11,10,10,10,10,10,10,10,10,11,10,11,29,12,27,10,10,8,10,10,10,13,9,12,9,10,10,10,10,11,9,9,10,14,10,10,10,11,11,10,9,13,11,10,10,10,11,11,10,11,10,10,11,11,10,10,11,11,0
"98",8,8,9,10,9,9,9,9,10,10,9,9,9,9,9,8,10,9,9,8,10,9,9,10,9,9,9,9,10,9,9,9,9,9,10,9,9,9,9,9,10,9,8,9,9,9,11,9,8,10,9,9,9,9,8,9,9,9,9,9,9,8,10,10,0
"99",8,8,8,8,9,8,8,8,8,9,9,8,9,8,9,9,9,9,9,8,9,8,8,9,9,8,8,8,8,8,7,8,9,8,9,8,8,7,9,9,8,8,8,9,8,9,8,8,8,8,9,8,7,9,9,9,9,9,8,8,9,8,20,26,0
"100",8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,7,7,8,7,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,7,8,8,8,8,8,8,7,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,9,0
"102",8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,9,8,7,8,8,8,7,8,7,8,7,8,7,8,8,8,8,8,8,8,8,9,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,7,9,8,9,9,14,15,15,18,0
"104",9,8,8,8,7,7,8,8,8,8,8,7,8,8,8,8,8,9,7,7,7,7,9,8,8,7,8,8,8,7,8,7,7,8,7,7,11,11,13,14,8,8,9,7,9,9,8,8,10,8,8,8,8,7,9,8,8,9,9,8,9,9,8,9,0
"105",7,8,8,8,8,8,8,8,8,8,8,8,8,7,9,9,8,8,8,8,8,7,9,9,8,8,8,7,8,7,8,8,7,8,8,8,9,8,8,8,8,8,7,8,8,8,9,9,7,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,1
"106",8,7,8,7,8,8,8,8,8,7,8,9,8,8,7,8,8,7,8,8,8,9,8,8,8,8,7,8,8,8,8,7,7,8,8,8,8,7,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,7,9,6,8,8,8,8,9,1
"107",9,9,10,9,9,9,9,8,9,8,9,8,9,10,10,10,9,8,9,8,9,9,9,9,9,9,10,9,9,9,9,10,9,9,9,9,9,9,9,9,9,8,9,9,10,9,10,9,9,9,10,8,9,9,10,9,9,9,9,8,8,8,10,9,0
"109",10,9,31,30,27,31,30,7,11,14,10,30,31,29,31,31,9,9,8,9,23,31,30,31,9,9,10,9,9,10,31,31,9,10,9,9,9,9,7,30,8,9,9,9,10,10,10,11,9,9,9,9,9,8,8,9,8,9,9,9,9,9,10,9,0
"110",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,11,10,11,11,10,11,10,9,11,11,12,11,10,10,10,10,11,11,11,12,17,17,19,15,10,12,12,11,11,11,11,11,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0
"114",9,9,9,9,8,9,9,9,9,9,10,8,8,8,9,8,9,9,9,9,9,9,10,10,9,8,9,9,8,8,8,8,9,10,9,10,8,10,9,10,9,9,9,8,8,9,9,9,9,9,10,9,8,9,8,9,9,9,9,8,8,8,8,8,0
"117",16,15,16,15,14,15,15,14,15,15,16,15,15,15,15,14,16,15,15,15,16,15,15,15,17,16,16,16,16,15,15,15,16,15,16,15,16,13,15,16,16,16,16,14,15,15,15,16,16,15,15,16,15,15,16,16,15,15,15,15,15,15,16,16,0
"118",10,11,10,10,11,11,11,10,10,11,11,10,11,11,11,10,9,11,11,9,10,11,11,11,20,12,10,10,11,11,11,10,12,28,12,24,27,13,11,13,10,10,10,11,14,11,20,14,11,11,11,11,11,10,10,11,11,11,11,12,10,11,10,11,0
"119",9,10,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,10,9,9,10,9,10,9,8,9,9,9,9,9,9,9,9,9,10,9,9,9,10,9,9,10,10,9,9,9,9,9,10,10,9,9,9,10,10,9,10,9,9,9,9,10,0
"120",9,8,9,8,9,9,9,9,6,9,11,8,9,9,8,9,21,17,10,9,9,9,9,10,9,12,8,10,9,9,8,9,9,14,10,5,9,9,9,9,9,9,31,9,10,9,9,9,9,10,12,14,10,10,9,9,9,8,9,14,18,8,9,9,0
"122",8,9,8,9,9,8,10,27,9,8,9,8,8,11,13,11,9,8,8,8,10,9,10,13,9,9,8,9,10,8,9,7,8,8,9,8,9,9,9,8,9,9,8,10,9,9,9,9,9,9,9,9,8,9,9,9,9,9,8,9,9,9,9,8,0
