"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","Class"
"22",166,9,34,37,17,0,29,68,47,1,3,5,54,2,91,101,11,1,5,0,0,0,0,6,42,2,4,9,57,6,77,77,82,6,9,6,5,0,5,9,9,0,0,0,5,0,6,8,45,4,7,2,2,0,5,7,116,4,4,8,124,11,70,49,11,1,4,2,0,0,3,2,5,1,0,1,3,1,6,2,0,0,0,0,0,0,0,2,1,0,1,0,6,0,2,7,47,1,4,2,3,0,12,6,5,1,0,1,4,1,2,11,70,4,3,8,3,0,4,12,147,5,2,6,98,4,40,47,49,39,2,110,2,4,3,106,6,3,0,3,2,4,2,72,8,4,1,3,0,1,0,11,3,7,0,5,6,7,3,43,9,2,0,6,0,0,0,8,0,0,0,0,0,0,0,3,2,4,0,4,0,0,1,5,6,3,1,1,3,3,4,15,32,46,3,74,5,3,15,88,5,3,0,3,6,4,1,55,1,3,0,5,0,0,0,4,8,7,0,2,6,10,7,97,72,56,3,44,9,3,0,45,4,3,0,2,6,2,4,13,86,53,2,35,9,6,2,46,58,37,0,13,41,56,13,188,0
"24",47,5,16,10,2,0,18,50,23,0,4,3,29,1,99,109,3,1,0,1,0,0,2,1,14,2,2,1,42,1,89,97,10,0,0,2,1,0,1,0,0,0,0,0,4,0,2,1,10,2,3,3,0,0,1,3,28,2,0,2,31,3,40,30,3,0,0,0,1,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,15,0,4,0,0,0,1,1,2,0,0,0,0,1,2,1,17,1,0,2,1,0,1,2,21,2,1,2,23,2,18,26,12,12,0,36,3,0,0,34,1,1,0,2,1,1,2,49,0,1,0,4,0,0,0,5,2,3,0,2,1,1,1,21,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,2,1,1,0,1,1,0,1,8,12,17,1,20,0,3,1,28,3,3,0,1,0,1,0,23,0,2,0,0,0,0,0,1,1,0,0,0,0,2,1,7,37,45,0,15,3,0,1,18,2,0,0,0,2,1,0,5,16,31,0,13,3,1,1,14,11,14,0,2,14,11,6,49,0
"25",396,37,110,120,32,1,120,170,134,11,27,21,140,3,392,280,33,9,13,18,0,0,5,10,137,19,24,36,193,7,368,336,100,4,12,14,13,0,24,9,17,0,1,2,16,1,9,12,140,25,13,22,2,1,9,11,338,31,10,17,277,17,184,165,40,1,8,1,4,0,15,16,4,0,0,1,13,1,28,19,1,0,0,0,0,1,1,1,2,0,0,1,6,1,21,20,120,4,8,11,16,2,26,16,13,0,1,1,19,1,19,13,138,13,15,14,4,0,17,18,280,16,2,5,279,13,177,167,147,122,21,319,10,3,15,249,19,17,0,12,25,10,10,184,8,17,0,31,0,0,0,21,15,11,3,20,17,9,5,130,18,24,0,8,1,2,0,4,0,2,0,0,0,0,0,5,23,28,0,24,1,0,0,9,4,21,0,8,5,3,1,45,132,182,20,267,10,7,29,261,16,7,1,5,22,11,26,158,7,10,0,14,0,1,0,14,9,9,0,10,21,17,9,180,367,381,17,182,19,18,22,144,11,4,0,0,20,7,6,47,328,319,4,155,21,13,11,169,182,121,1,42,146,153,44,629,0
"26",321,16,96,89,21,1,97,97,100,8,8,15,107,3,235,158,19,8,7,14,1,0,2,6,122,11,15,19,122,8,181,205,93,3,6,5,5,0,9,10,16,0,0,1,12,0,9,2,94,12,11,16,1,0,10,3,255,27,9,12,143,7,119,124,25,0,5,2,8,1,11,5,3,1,2,0,12,0,21,14,1,0,1,1,0,0,0,0,5,0,0,1,7,0,13,14,90,4,7,8,13,0,14,10,16,1,1,0,19,0,12,7,122,9,10,15,6,1,15,23,233,17,2,7,201,11,116,145,135,126,15,232,6,3,11,211,14,13,0,9,14,4,10,105,7,9,0,20,0,0,0,11,14,18,2,16,13,11,6,98,12,12,0,5,0,1,1,3,1,0,0,1,0,1,0,1,17,25,0,17,1,3,0,10,7,12,0,8,4,7,0,29,110,97,13,159,10,10,21,197,14,11,0,10,16,8,17,103,4,8,0,12,0,0,0,11,6,6,3,4,7,5,7,99,228,186,9,129,21,7,17,125,12,2,0,3,19,8,6,26,221,226,4,105,18,11,7,161,139,98,1,25,116,106,34,453,0
"27",262,17,63,55,15,0,66,95,98,11,6,7,63,2,197,182,14,2,6,6,2,0,1,4,70,8,11,14,70,4,127,171,69,4,7,4,2,1,1,4,6,2,0,0,5,0,3,8,56,6,5,16,4,0,9,8,158,18,3,7,93,6,82,74,13,1,1,4,4,0,4,7,2,3,0,1,10,0,18,9,2,0,1,2,1,0,1,1,3,0,0,0,4,1,7,11,70,4,7,4,8,0,13,8,12,0,0,3,13,0,8,14,89,1,5,16,5,1,9,19,122,11,0,11,135,7,73,100,96,75,12,146,5,5,5,126,18,10,1,9,10,8,8,75,5,7,0,12,3,1,4,7,8,14,0,5,7,4,4,80,9,9,1,3,0,0,0,7,0,1,0,0,0,1,0,3,10,10,0,10,0,0,4,11,5,7,0,4,2,7,2,21,74,70,6,95,13,2,11,139,12,4,0,3,13,5,9,65,0,2,1,6,0,1,1,8,5,4,0,9,8,13,8,100,163,121,5,78,10,11,13,70,3,3,0,1,5,1,5,32,176,137,5,93,12,14,6,76,100,79,2,14,64,70,17,337,0
"28",393,32,121,107,32,0,113,173,152,18,20,23,139,7,296,412,19,7,4,11,1,0,1,6,122,19,11,37,146,11,243,280,122,4,19,7,4,0,9,16,8,1,2,0,18,0,14,8,125,16,10,27,2,0,10,13,317,25,7,23,229,11,198,192,33,1,13,4,2,0,17,7,6,4,1,1,14,1,28,13,1,0,1,0,0,0,1,0,5,1,1,0,8,1,10,14,109,2,12,7,12,0,28,12,13,1,1,2,37,0,20,10,161,5,13,14,8,2,12,15,258,12,9,9,287,9,148,195,180,121,20,324,9,5,14,245,16,12,2,13,16,8,20,197,12,16,0,28,1,1,0,9,19,21,0,19,6,18,9,147,12,10,0,11,1,0,0,5,0,0,0,0,0,0,0,2,26,24,0,24,0,2,2,10,15,13,0,4,8,8,1,28,136,142,11,211,16,10,25,293,15,8,0,10,17,9,20,146,3,5,1,17,2,0,0,15,8,14,1,5,17,9,8,134,310,237,14,179,30,16,10,161,11,8,0,0,11,10,5,42,455,339,6,165,23,13,14,184,198,137,3,39,174,120,47,569,0
"29",257,14,71,48,11,0,46,71,79,6,14,10,62,2,133,124,24,1,5,1,1,0,4,4,54,5,5,9,80,3,89,81,57,4,24,6,3,0,8,10,11,0,0,0,11,1,6,8,66,6,4,5,6,0,9,11,125,16,3,8,97,31,63,62,15,1,7,2,2,0,11,8,6,0,4,1,7,0,10,9,0,0,0,1,0,0,0,0,0,2,2,0,3,0,10,18,47,4,10,10,2,0,5,7,4,0,2,0,9,0,9,11,78,7,6,7,3,0,8,8,99,8,2,1,92,10,61,75,73,49,9,150,7,4,3,91,8,6,1,3,6,8,3,59,6,10,0,13,0,0,0,7,8,8,0,9,4,4,5,47,7,4,0,3,0,1,3,5,0,0,0,0,0,1,0,1,5,7,0,5,0,0,0,6,2,9,0,9,3,16,0,25,57,66,10,123,5,5,12,107,4,4,0,4,5,10,6,52,1,2,0,9,0,1,2,15,5,8,0,22,9,26,6,96,136,66,8,68,15,3,8,54,4,4,0,2,6,11,3,16,105,86,3,54,7,8,3,69,65,58,2,19,44,92,16,307,0
"30",297,26,120,102,25,2,81,147,102,6,12,17,90,5,281,239,15,3,10,11,2,1,3,7,103,10,12,25,146,5,208,218,100,5,14,8,6,0,15,8,12,2,1,1,16,1,9,9,89,9,9,13,3,0,8,15,244,22,6,12,171,7,122,126,20,2,4,7,0,0,10,9,8,0,0,2,10,1,19,17,1,0,0,0,0,0,0,0,3,2,0,1,6,0,6,14,93,6,7,12,10,1,14,8,11,0,1,0,12,1,9,16,150,8,9,6,8,1,12,18,206,10,5,5,176,8,122,142,121,94,9,258,9,5,14,189,14,10,0,8,12,14,10,133,3,12,0,19,0,0,3,13,16,12,0,11,11,8,4,115,15,16,0,6,0,0,0,6,0,0,0,0,2,1,0,3,8,16,0,10,0,2,0,4,4,8,0,8,9,5,2,37,95,147,11,177,10,6,28,195,10,7,0,6,18,13,13,121,4,5,1,12,0,0,0,16,10,7,1,8,10,16,6,135,267,185,8,127,15,6,10,108,10,1,1,1,14,6,4,27,228,208,4,118,14,12,8,118,146,113,2,32,113,119,25,466,0
"31",109,4,31,31,15,0,35,40,35,0,6,4,41,1,76,69,4,1,2,5,0,0,0,1,31,6,2,11,37,2,51,88,33,0,4,5,4,0,3,1,11,1,0,0,6,0,1,3,40,5,3,7,0,0,0,3,86,8,4,7,74,7,42,40,17,0,1,0,2,0,1,2,5,0,0,0,6,0,11,5,1,0,1,0,0,0,0,0,1,0,0,0,1,2,2,4,44,3,1,1,5,0,3,3,5,0,0,1,13,0,6,2,32,1,4,5,3,0,5,4,114,6,0,3,91,5,45,53,44,35,6,102,2,0,6,85,2,4,0,2,3,5,5,45,1,5,0,12,0,0,0,2,5,8,0,5,1,4,0,48,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,0,1,0,4,4,9,0,2,3,6,0,10,39,36,7,74,3,3,4,84,6,3,0,0,4,1,6,47,1,3,1,3,0,0,0,5,1,10,0,5,1,2,4,39,84,61,2,45,6,4,6,45,2,1,0,0,6,3,3,15,44,74,0,35,6,4,6,41,49,39,1,18,31,37,8,145,1
"32",192,11,53,38,9,0,40,68,91,3,8,8,57,1,101,122,14,2,4,3,1,0,4,3,45,4,6,4,59,2,88,106,81,1,20,8,2,1,6,4,10,1,0,0,6,1,4,5,42,6,8,8,2,0,5,7,110,11,4,4,78,9,66,63,14,1,1,4,3,0,1,6,5,0,0,0,9,0,5,4,4,0,0,1,0,0,0,2,3,0,1,2,2,0,9,9,53,2,11,7,3,0,11,3,5,1,0,0,14,0,2,9,57,3,4,7,3,0,3,13,90,8,4,6,94,4,53,92,73,46,5,96,6,4,8,101,12,12,0,6,7,5,7,68,8,4,0,9,0,0,0,6,10,5,0,5,1,6,5,53,7,4,0,5,0,0,0,4,1,0,0,1,0,0,0,1,9,4,0,4,0,2,0,10,4,10,0,4,3,4,3,16,51,59,3,74,6,2,9,91,9,5,0,1,10,4,4,61,0,7,0,7,0,0,1,12,5,10,1,11,10,16,6,83,103,102,2,58,6,5,3,55,5,3,0,0,2,7,1,13,173,82,5,58,11,3,5,64,56,50,5,12,52,62,12,271,0
"34",109,7,38,25,9,0,34,28,25,4,0,5,34,2,70,62,4,0,0,4,0,0,1,2,34,1,8,8,39,1,56,58,28,3,3,3,2,0,2,3,5,0,1,0,5,0,2,1,40,7,6,6,2,2,4,1,77,4,4,5,54,3,36,46,4,0,1,1,0,0,2,5,3,0,0,1,4,0,5,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,2,28,1,1,1,2,0,8,4,5,0,0,0,4,0,4,4,39,1,3,6,2,1,3,6,42,5,1,3,66,5,41,34,31,24,7,79,8,0,4,57,2,5,0,1,2,7,4,32,0,5,1,5,0,0,0,7,4,1,0,3,4,0,2,39,3,2,0,1,0,1,0,2,0,0,0,0,0,0,1,0,4,7,0,3,0,1,0,2,2,2,0,2,0,1,1,15,26,36,3,44,2,0,5,71,5,0,0,0,8,4,2,31,0,2,0,5,0,0,0,8,4,1,0,3,5,3,2,32,74,56,3,30,4,6,4,37,4,1,0,1,8,2,3,6,55,60,0,31,3,1,0,42,35,35,2,13,36,50,12,127,1
"36",84,7,27,32,5,0,16,41,39,3,10,7,34,3,77,102,7,1,1,3,0,0,2,2,38,3,0,8,28,3,61,63,32,2,2,3,0,0,2,2,5,0,0,0,2,0,1,1,28,5,1,4,0,0,4,4,76,3,1,2,61,6,46,39,6,0,0,4,1,0,5,2,0,0,0,0,4,0,5,4,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,1,24,0,2,2,3,0,5,3,2,0,1,0,4,0,7,6,49,3,3,3,3,0,3,0,78,3,1,7,71,4,48,36,40,30,4,67,2,4,6,58,6,3,0,4,8,1,3,48,3,1,0,8,0,0,0,5,0,6,0,5,2,2,2,26,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,0,0,0,1,4,1,0,0,1,3,0,10,33,32,5,44,3,2,4,64,2,1,0,0,2,3,5,25,1,1,0,1,0,0,0,2,3,2,1,1,2,6,1,31,93,64,3,30,8,2,5,38,4,1,0,0,5,2,3,8,98,70,2,43,4,4,1,25,41,41,0,8,31,38,6,128,1
"37",136,9,38,46,8,0,50,61,45,0,8,7,41,1,114,86,11,2,3,2,0,0,1,2,57,5,4,15,49,2,72,104,35,1,1,1,4,0,1,2,7,0,0,0,9,0,4,1,47,7,3,10,1,0,7,4,103,8,1,4,83,3,70,55,8,0,2,1,5,0,7,2,4,0,0,0,8,0,7,7,0,0,1,0,0,0,0,0,1,0,0,0,2,0,3,6,46,1,7,3,4,0,10,2,11,0,0,0,14,0,4,2,67,5,3,3,2,0,8,5,143,7,1,4,102,4,40,61,67,48,4,115,3,3,3,138,5,4,0,4,2,2,3,66,2,7,0,13,0,0,0,3,4,8,1,5,2,4,1,58,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,6,0,0,0,4,5,11,0,3,0,3,0,9,44,44,4,75,8,2,13,92,2,0,0,0,6,7,7,53,2,5,0,3,0,0,0,3,7,3,0,5,3,5,1,40,109,88,1,52,14,4,5,62,6,2,0,0,6,0,2,23,110,101,3,63,7,6,8,65,68,60,0,15,52,54,15,181,1
