"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","Class"
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2,1,3,2,2,1,0,0,1,1,0,0,1,0,1,0,4,3,4,2,3,4,1,2,4,4,5,8,16,5,5,4,5,11,4,5,12,7,8,13,11,33,49,119,136,233,218,171,184,184,209,182,197,180,183,179,191,187,164,153,102,88,76,56,60,55,45,43,27,29,26,44,31,29,31,32,35,41,18,21,17,15,12,14,14,7,20,7,12,6,4,6,10,4,7,6,4,5,3,3,4,3,4,3,1,5,5,2,3,1,6,3,5,3,0,5,0,2,1,2,3,1,4,0,2,2,2,1,1,0,3,0,1,1,0,0,3,0,1,0,2,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,9,9,27,42,52,61,54,65,56,33,51,44,38,53,48,60,48,56,46,43,33,49,23,39,27,29,31,22,37,31,20,30,24,15,24,28,19,19,12,30,30,31,31,34,51,38,33,24,21,9,5,3,2,3,2,2,0,3,3,1,0,1,0,2,0,0,2,2,2,0,0,0,0,2,2,1,3,2,1,0,1,2,2,1,2,2,1,0,0,0,2,0,0,0,0,0,4,0,1,0,1,0,0,2,0,0,2,0,1,1,1,2,0,1,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,50,153,430,963,1473,2206,2353,1772,1445,794,441,216,83,75,52,23,23,17,14,17,16,11,15,15,9,14,19,14,8,10,15,11,12,15,6,11,9,12,10,7,13,9,18,11,9,8,10,14,18,13,9,15,21,13,15,9,9,9,6,8,10,13,16,8,15,5,6,7,9,8,8,2,4,8,8,6,4,3,6,2,4,5,5,4,3,7,6,6,4,6,5,1,3,5,7,4,3,6,3,4,2,5,3,5,3,7,1,5,5,1,5,3,2,6,3,1,1,5,2,2,0,2,3,1,1,0,3,3,3,2,3,3,5,3,1,4,1,4,4,3,3,1,0,6,3,2,1,1,4,3,3,1,1,1,1,1,4,1,2,1,1,3,0,3,1,1,0,2,1,1,1,2,1,1,2,2,0,1,0,1,1,1,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,49,138,341,764,1003,1233,1187,999,780,605,414,293,261,185,200,212,151,97,67,72,46,24,20,11,12,7,7,13,10,11,5,15,5,4,3,7,4,8,7,9,3,5,3,3,3,6,2,5,4,3,5,6,1,4,6,9,4,3,2,6,4,1,9,3,4,6,4,0,4,2,0,4,5,0,4,3,2,3,1,0,3,2,2,2,1,2,5,2,1,4,1,3,2,5,0,2,6,1,1,2,1,3,1,0,0,1,1,1,4,3,4,2,3,4,2,2,4,0,0,1,3,2,0,2,3,2,5,0,4,1,0,2,1,2,1,1,1,1,0,1,1,3,2,1,5,1,0,0,1,2,1,0,0,1,3,2,2,3,2,1,1,1,2,1,1,0,2,1,0,0,0,0,2,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,2,0,2,1,4,6,10,6,7,4,3,6,6,4,8,6,4,4,8,10,7,10,11,10,34,120,340,725,1109,1315,1024,710,338,138,63,33,19,15,23,12,13,21,23,20,14,14,11,12,13,7,9,13,12,9,9,12,17,11,15,19,16,18,16,15,17,9,10,5,13,11,7,14,7,10,9,7,5,9,9,8,5,9,6,7,5,4,8,7,6,5,7,8,8,4,3,7,7,8,3,2,2,3,1,2,4,3,1,0,2,2,0,3,2,1,4,2,3,2,0,2,1,5,3,3,0,0,1,4,1,1,2,0,1,2,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,43,208,512,970,1668,2013,2440,2019,1180,642,272,115,51,25,22,13,19,6,11,6,4,13,11,12,11,6,10,8,6,8,5,14,6,9,10,7,10,6,10,6,8,13,4,8,8,7,7,4,11,9,8,6,7,10,10,7,10,6,7,12,19,7,11,8,8,8,6,5,8,4,8,12,9,8,6,8,5,6,5,9,10,8,7,4,8,9,4,10,8,5,2,6,9,6,2,11,5,6,3,1,5,4,2,6,2,2,0,3,4,0,3,2,3,0,1,4,2,5,1,4,7,3,1,4,3,4,2,2,2,1,1,1,2,0,1,0,3,2,2,5,1,0,0,1,2,2,0,1,0,2,2,0,3,2,0,2,5,0,1,1,0,0,0,1,1,1,1,0,1,5,2,1,1,1,2,1,0,0,0,1,1,1,4,1,1,0,0,0,1,0,0,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,1,3,0,3,0,2,2,0,1,0,0,0,0,0,0,0,1,1,2,0,2,1,3,4,3,5,1,3,5,5,6,2,3,7,4,11,10,13,16,15,12,10,23,26,30,31,27,30,26,24,19,27,20,24,24,33,34,35,33,40,48,98,171,391,576,725,756,550,373,219,116,53,27,18,20,22,31,31,20,15,17,34,49,41,32,22,14,16,9,10,6,10,9,7,7,3,11,10,9,7,11,11,21,20,24,16,11,12,18,17,10,9,10,2,7,3,7,6,6,4,4,4,2,3,3,3,2,3,4,0,2,3,3,2,4,5,11,7,3,1,2,2,3,4,3,3,6,4,2,2,1,0,0,4,4,2,3,3,0,2,6,0,4,4,2,0,3,3,2,1,2,1,1,3,2,4,2,2,0,2,1,1,2,2,1,3,1,2,2,1,1,4,4,1,5,1,1,3,0,2,0,3,2,2,1,0,1,1,1,2,1,1,1,0,2,1,1,1,2,1,1,2,4,1,2,0,1,2,3,1,1,1,0,1,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,21,60,235,546,937,1549,1793,1428,1183,749,316,165,93,28,34,19,19,24,15,21,22,20,15,16,18,11,17,14,14,15,10,18,6,11,15,10,12,7,9,13,5,1,8,9,9,9,10,5,7,5,9,5,10,3,5,2,8,6,1,6,4,7,4,5,1,6,2,4,3,8,3,4,2,6,2,8,2,10,3,3,4,4,4,2,4,3,5,3,2,4,5,1,4,3,3,1,2,4,5,3,3,1,3,3,2,3,3,3,2,4,5,4,5,2,2,1,6,0,2,4,1,0,4,2,4,1,0,1,1,1,3,5,1,1,3,3,1,1,2,1,3,1,1,3,2,4,3,2,1,1,1,1,2,1,2,0,0,0,0,1,2,1,2,0,1,1,1,3,1,1,0,0,0,2,3,3,0,2,3,1,0,0,0,0,1,2,0,0,0,0,0,1,1,1,1,0,2,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,53,102,168,341,449,541,622,425,292,192,95,61,35,24,7,4,6,3,9,2,5,3,2,3,2,4,0,1,1,4,1,3,2,0,2,3,1,1,2,1,2,0,1,2,0,2,2,1,3,3,0,0,2,1,0,4,2,1,1,2,1,1,0,1,1,2,1,1,1,3,2,2,0,0,1,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,1,1,4,0,0,2,2,2,0,0,3,2,0,0,1,1,1,1,2,1,1,3,2,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,2,0,1,1,1,3,0,2,0,1,0,1,1,1,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"32",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,1,1,1,4,1,3,1,1,1,3,1,1,1,3,3,3,13,12,14,12,20,9,10,8,11,6,15,7,11,6,14,14,9,9,13,28,73,180,449,750,839,768,506,255,99,44,24,26,21,12,19,17,25,23,43,35,23,26,21,9,8,10,4,11,12,12,10,10,10,11,8,7,13,6,9,11,17,16,9,13,16,11,22,20,14,5,4,9,2,3,11,6,3,9,4,7,2,9,6,7,6,2,4,7,2,7,5,4,7,3,6,6,7,5,3,3,1,2,4,1,3,6,2,4,0,2,0,2,2,5,3,2,4,2,3,3,2,3,2,1,3,0,0,2,2,4,2,1,3,0,2,2,2,0,1,3,0,4,2,0,3,4,1,3,1,1,3,2,3,5,0,1,3,1,1,1,1,2,2,0,1,0,1,1,3,3,2,1,1,1,2,0,2,0,1,0,0,1,0,2,0,1,0,0,1,0,0,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,11,37,56,73,88,159,160,293,207,234,261,238,300,189,196,130,103,68,57,35,19,28,9,7,3,1,2,0,0,1,1,1,1,2,2,2,1,1,1,0,1,1,2,2,1,2,0,0,1,0,3,0,2,0,0,1,1,0,0,1,1,0,0,3,0,2,3,2,1,0,1,0,1,1,2,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,6,12,29,32,82,64,106,137,140,226,187,193,263,171,250,155,160,199,127,134,90,83,45,30,36,14,15,6,8,6,5,7,3,2,5,1,1,2,3,0,0,0,2,3,1,0,2,1,0,4,1,1,0,0,1,2,1,2,5,3,2,0,2,4,1,2,1,1,1,1,0,1,1,1,1,2,0,1,1,1,1,0,0,0,1,2,0,1,0,1,1,0,2,1,3,0,0,2,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,7,27,68,142,215,305,381,442,536,491,459,369,312,206,193,129,79,57,26,23,16,11,5,4,2,1,2,2,3,5,2,4,0,1,4,0,4,3,2,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,4,1,1,0,0,2,0,0,0,0,1,2,3,2,0,0,2,1,1,0,0,0,0,0,2,1,2,2,0,0,0,1,2,1,1,1,1,1,1,2,0,1,0,2,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
