"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","Class"
"41",0,1,0,0,0,1,3,2,3,0,2,1,2,4,0,1,1,1,3,0,0,0,1,2,0,1,1,5,4,2,2,2,3,4,5,2,0,1,1,0,2,1,3,4,0,1,3,3,3,1,2,1,4,2,2,1,1,3,3,0,1,1,1,2,0,1,0,1,0,0,0,2,0,0,0,1,3,2,1,3,1
"42",0,1,0,3,0,0,1,1,2,0,1,1,6,2,1,0,1,2,3,0,1,0,2,3,0,0,2,0,5,7,0,3,4,0,3,1,1,4,5,0,0,2,1,0,0,2,3,4,5,2,0,0,0,0,0,0,0,0,1,0,3,3,5,1,1,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"43",1,1,4,3,2,1,1,3,5,7,0,2,1,1,0,1,0,2,1,0,1,1,1,0,0,1,1,3,5,2,1,0,2,0,2,2,1,3,2,0,1,2,2,0,0,2,1,2,3,0,2,1,3,3,4,2,1,3,1,0,1,1,1,4,0,1,2,4,3,3,3,1,2,3,3,4,2,0,4,0,0
"44",7,0,5,7,0,0,2,0,5,0,0,6,0,0,1,0,1,4,4,0,0,4,3,3,7,4,0,3,3,0,0,0,0,0,0,0,1,0,6,0,4,4,6,5,3,3,0,6,7,0,3,1,3,3,0,0,0,0,0,0,7,0,6,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,1,2,1,0,1,0,1,2,0,1,0,1,3,0,0,0,1,1,1,1,1,0,5,6,1,3,7,2,6,3,1,0,1,0,0,1,2,3,5,1,3,4,2,5,1,1,1,2,3,1,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,2,3,0,1,1,2,0,1,0
"47",4,0,2,2,0,1,1,2,3,2,0,1,3,3,2,0,1,1,1,1,1,1,4,4,1,1,2,5,4,4,1,1,4,5,1,1,1,4,3,0,0,1,2,2,0,2,3,5,4,3,1,3,4,4,1,1,1,1,1,2,1,1,3,3,1,2,1,2,2,1,2,1,1,2,0,2,0,2,2,0,1
"48",3,0,1,3,0,0,1,3,1,0,0,2,1,1,0,0,4,3,2,0,0,1,3,2,0,0,1,5,2,7,0,1,2,2,3,0,2,0,0,0,1,1,1,2,0,3,1,2,5,3,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,3,1,2,5,0,0,1,1,0,0,0,0,1,2,0,1
"49",2,0,0,1,2,2,1,3,3,0,1,2,1,4,0,2,1,0,2,0,1,1,2,0,0,3,1,2,4,3,1,1,1,3,0,0,1,2,0,0,2,1,4,3,0,2,0,4,5,5,2,2,3,3,1,1,0,1,1,0,2,1,1,1,4,1,1,2,4,0,2,1,2,2,0,0,0,5,4,0,1
"52",1,0,0,0,0,2,3,1,0,0,0,0,2,1,0,0,4,6,1,1,1,1,0,1,0,5,1,6,5,1,0,1,6,6,3,3,3,6,7,4,3,2,0,5,7,4,1,7,5,6,5,2,3,6,6,3,3,3,4,7,5,3,0,1,7,7,2,0,0,0,7,0,1,3,3,7,1,0,0,6,0
"54",1,6,4,1,6,1,6,6,5,5,2,5,6,5,4,2,5,7,6,0,1,5,7,6,4,0,6,4,3,5,0,6,5,4,4,1,5,4,4,6,1,6,4,6,3,1,6,5,6,4,1,5,6,4,5,0,5,5,7,4,1,7,6,7,1,1,6,6,5,3,1,6,7,5,2,0,6,7,4,2,0
"57",3,0,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,2,0
"58",0,0,0,1,5,4,1,0,2,3,0,0,0,0,3,0,0,1,0,2,0,0,0,0,2,5,0,0,2,4,0,0,0,0,3,0,0,1,0,3,0,0,0,0,3,3,0,0,2,4,2,0,0,0,3,0,0,0,0,2,0,1,0,0,4,0,1,0,0,1,4,0,0,6,5,0,0,1,1,3,0
"59",1,1,3,5,7,1,1,3,6,4,1,1,3,2,1,1,1,2,1,0,1,1,1,1,0,1,1,0,7,7,1,1,2,5,2,0,1,1,2,0,0,1,1,2,0,1,0,2,2,2,3,1,1,7,6,0,1,2,3,2,1,0,1,0,0,0,1,0,1,0,1,1,1,2,4,2,1,1,7,6,0
"60",3,1,3,4,1,5,1,4,3,3,1,1,2,1,1,1,1,2,2,0,0,1,1,2,0,5,1,2,4,5,2,0,2,2,0,0,1,1,1,0,1,2,1,2,0,4,1,1,3,2,4,1,3,3,2,0,0,0,0,0,2,1,3,3,0,0,1,2,1,0,5,0,2,4,5,1,1,1,1,0,0
"61",0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,2,3,0
"62",0,1,2,3,6,0,0,0,0,3,0,0,1,0,3,0,0,0,1,3,1,0,1,3,3,0,0,0,5,5,0,0,0,0,2,0,1,0,1,2,0,0,0,0,3,0,0,0,2,4,1,0,0,4,5,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,1,2,3,0,0,0,5,6,0
"64",3,1,2,3,2,6,2,4,5,5,2,3,3,4,2,0,2,4,3,1,3,2,5,3,0,5,2,3,4,4,2,2,2,4,1,3,1,2,4,0,0,1,4,2,1,4,1,3,5,1,4,1,4,5,2,4,1,4,3,2,1,2,3,2,1,2,1,3,2,2,2,1,1,0,2,2,2,1,1,1,0
"66",1,1,3,3,0,1,1,3,4,1,1,2,3,4,2,1,2,3,4,1,1,2,3,2,3,1,2,4,5,4,1,2,1,3,1,3,1,3,2,1,3,1,1,2,1,2,2,4,3,1,0,4,3,3,5,1,2,3,3,0,2,1,2,1,0,1,2,3,3,0,1,1,4,4,0,1,1,3,3,0,1
"68",2,1,2,2,0,0,2,2,2,0,0,0,1,1,0,1,1,4,4,0,1,3,3,5,1,3,1,4,3,3,1,3,4,3,1,2,2,1,2,1,1,1,4,2,3,2,0,6,3,4,0,1,1,2,3,1,3,4,3,0,1,1,5,5,2,3,0,2,3,1,1,1,3,1,1,0,1,2,5,0,1
"70",1,1,3,3,0,2,1,3,3,1,2,2,4,3,0,0,1,1,1,0,1,3,2,3,0,1,1,1,2,0,1,0,4,3,0,1,1,4,4,1,0,3,2,1,1,1,4,0,2,0,0,4,0,0,0,1,5,4,2,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,2,0,0
"73",0,1,2,3,0,0,1,0,1,0,2,1,2,2,1,0,1,0,2,0,0,1,0,3,0,0,1,1,1,1,1,3,2,5,3,2,3,4,1,1,1,1,3,2,1,1,3,3,5,2,3,0,4,5,1,0,3,4,1,0,0,1,2,2,0,1,1,1,2,0,3,0,1,3,0,0,0,4,2,0,0
"74",0,1,3,2,0,1,0,2,3,0,3,1,5,3,1,2,2,3,2,0,2,1,4,3,1,2,2,4,3,3,0,1,4,5,1,3,0,2,4,0,0,1,4,1,0,2,1,2,3,1,2,2,6,6,5,3,1,4,6,1,0,2,4,4,0,0,2,0,1,1,1,1,2,1,2,3,1,2,3,0,0
"76",0,0,2,2,0,0,1,0,1,0,1,1,2,2,0,0,1,1,1,0,0,0,0,0,0,1,2,2,2,2,1,3,1,2,5,0,1,0,1,1,0,2,3,1,0,0,3,2,1,2,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,3,2,0,1,1,3,3,0,0,0,0,2,0,1
"77",1,0,1,2,0,1,2,1,2,0,1,1,2,1,0,1,0,0,0,0,2,2,4,1,1,0,5,2,1,2,1,2,2,3,1,2,1,2,2,2,0,0,1,0,0,0,2,3,2,0,2,4,2,1,4,1,3,3,2,2,2,0,0,1,2,2,1,1,2,2,1,0,1,0,0,0,0,1,1,0,1
"78",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,3,0,2,2,0
"79",0,0,2,0,0,2,1,2,3,3,1,1,2,1,1,1,1,2,2,0,1,1,3,1,2,0,1,2,3,1,1,0,2,1,0,1,0,1,1,0,0,0,2,2,0,1,0,2,2,0,1,1,1,1,0,0,1,0,1,0,1,1,2,3,4,2,2,4,3,4,2,2,3,5,6,2,2,5,2,7,0
"80",3,2,5,5,2,2,2,3,3,2,2,3,2,3,0,1,2,6,2,0,1,2,3,2,2,4,1,3,4,4,1,2,4,3,0,3,3,1,2,0,3,1,1,3,1,4,1,4,5,5,3,1,2,2,2,1,2,2,2,1,2,2,1,1,0,1,2,2,4,1,2,1,3,4,1,1,1,2,2,0,1
"81",0,0,0,1,0,1,0,1,1,0,4,0,3,3,2,1,0,3,4,1,0,1,2,3,0,4,1,3,5,3,4,1,2,0,6,0,0,1,1,0,0,0,0,0,0,4,1,6,1,3,4,2,2,3,3,0,2,1,0,0,0,1,0,0,0,1,1,2,4,1,1,1,1,0,0,1,1,1,1,0,1
"82",0,4,1,2,0,2,1,4,5,7,3,0,2,2,7,1,3,5,6,0,1,0,1,0,0,4,2,1,0,6,3,2,3,4,3,2,0,1,1,0,3,2,0,0,0,0,3,0,0,0,0,3,4,2,0,2,1,1,1,0,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,2,6,1,0,1
"83",0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,5,0,0,3,0,2,1,0,2,1,1,6,1,2,0,0,2,3,2,1,0,0,0,0,0,5,3,0,0,2,1,1,0,2,1,4,5,4,0,0,0,0,0,1,0,1,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1
"84",1,0,3,1,0,0,0,3,1,0,1,1,2,3,1,1,2,2,3,0,0,0,3,3,0,1,1,2,2,2,1,3,3,3,4,0,1,1,1,0,1,2,4,4,2,2,4,2,3,4,1,0,1,2,0,1,0,0,1,0,1,0,2,1,0,0,0,0,1,0,2,1,2,2,0,3,0,2,2,0,1
"85",1,0,3,2,0,0,2,1,3,0,3,0,4,4,0,1,1,2,3,0,1,1,2,2,0,2,2,2,2,2,2,2,5,3,2,0,2,0,2,0,0,0,1,2,0,1,2,6,6,3,1,0,2,2,0,0,2,1,1,0,1,1,1,0,0,1,0,2,1,0,1,0,1,2,0,1,1,2,3,0,1
"87",0,1,0,2,1,1,1,1,0,0,1,1,2,1,0,1,0,2,3,0,1,1,2,4,0,0,5,4,4,2,0,6,1,4,2,0,2,1,3,0,0,0,1,1,0,0,3,1,0,1,1,1,2,1,0,3,1,2,1,0,1,1,2,2,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1
"88",1,1,3,2,0,1,0,2,1,0,3,1,0,2,0,1,1,1,1,0,0,4,2,2,1,1,3,2,4,2,3,0,5,2,2,0,0,4,3,0,2,1,1,4,1,1,1,2,0,6,0,3,1,5,2,1,0,1,0,0,1,1,2,2,0,3,0,3,2,0,1,1,2,3,1,1,0,0,0,0,1
"89",0,0,2,2,0,1,0,1,1,0,0,2,1,2,0,1,1,3,1,0,0,3,1,1,0,0,6,2,5,0,0,3,0,0,2,0,0,2,4,0,0,2,0,0,0,2,1,0,1,2,1,1,2,0,3,0,1,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,1,0,1,0,1
"90",0,2,1,2,0,0,1,2,1,0,0,2,1,0,0,3,1,1,1,0,1,0,0,1,0,1,0,4,4,2,1,1,4,1,4,0,3,0,0,0,0,1,1,1,0,0,2,0,2,0,2,0,2,1,1,0,0,4,3,0,1,1,1,1,0,0,0,1,0,0,3,0,3,2,0,0,2,1,2,0,1
"93",1,0,4,1,0,3,2,4,5,0,0,3,4,4,0,0,0,1,1,0,0,1,2,1,0,1,2,3,6,5,1,2,1,5,1,0,1,2,1,0,0,0,0,1,0,0,3,4,2,6,3,2,0,2,4,0,0,0,0,0,3,3,2,3,1,0,0,0,1,4,0,0,3,3,4,1,0,4,5,0,1
"95",0,2,2,1,0,1,0,4,0,0,1,1,3,5,1,4,1,1,3,7,3,3,6,3,7,1,0,2,2,7,2,3,3,4,7,2,1,6,2,7,5,1,0,4,6,7,0,0,0,5,5,2,1,0,6,5,3,2,2,4,6,3,2,0,6,7,0,0,0,4,6,1,2,2,4,4,2,3,3,4,0
"96",0,3,3,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,4,4,4,2,1,4,3,5,1,1,1,1,0,0,1,1,0,0,2,1,2,2,0,1,3,6,5,5,1,2,6,4,4,2,0,0,2,2,2,1,3,3,3,1,1,0,2,4,2,2,6,4,7,1,1,2,2,7,0
"98",2,0,6,5,1,3,1,1,2,2,1,3,3,2,0,4,2,4,5,1,0,2,1,3,0,1,4,3,3,1,1,5,5,5,1,0,2,3,1,0,0,2,3,2,0,0,1,3,1,0,0,2,1,4,1,3,1,1,3,1,0,2,2,2,2,1,1,2,6,2,1,3,3,2,0,3,3,4,5,3,0
"99",0,1,2,2,0,1,1,3,2,0,3,2,4,2,0,0,1,1,0,0,2,2,3,4,0,0,1,4,3,0,1,0,0,4,0,4,1,1,4,0,3,2,2,5,2,0,5,3,3,0,1,5,3,1,2,1,2,2,3,0,0,1,3,0,1,1,2,3,1,0,1,1,3,2,0,0,1,1,2,0,0
"100",0,0,0,0,0,1,1,3,6,1,1,1,1,2,1,1,1,1,3,1,0,1,0,1,0,1,4,1,3,0,0,4,2,1,2,0,2,2,1,3,0,1,1,2,1,0,4,5,2,0,0,2,5,2,0,0,0,4,5,0,1,2,1,0,0,1,0,1,3,0,1,2,5,2,1,3,0,2,2,0,0
"102",0,0,2,0,0,0,4,1,1,3,1,1,1,3,1,3,0,5,5,0,0,4,4,4,0,0,7,1,0,3,0,4,1,0,1,2,5,5,4,1,0,1,5,3,0,0,5,3,3,0,0,3,2,1,0,1,2,6,4,0,4,0,2,0,0,2,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0
"104",2,0,2,2,1,3,1,2,1,1,2,1,3,3,2,1,1,1,2,1,4,2,3,4,1,1,4,2,3,1,1,5,2,2,1,0,5,2,2,1,2,2,4,4,1,2,1,3,2,1,1,1,4,5,1,1,2,1,3,0,1,2,2,4,1,2,0,2,2,1,2,1,1,1,1,0,0,3,2,0,0
"105",1,1,2,1,0,0,1,1,1,0,1,0,2,1,0,0,0,2,2,0,0,4,1,1,0,4,1,5,6,3,4,1,4,5,1,0,1,1,2,0,0,0,0,0,0,5,0,1,4,3,5,1,2,6,3,1,1,4,0,4,3,1,0,0,0,2,3,5,1,0,0,0,2,5,1,3,1,0,0,1,1
"106",1,0,2,2,1,0,1,1,1,0,1,1,3,1,0,0,2,1,0,0,0,1,0,1,3,1,1,6,4,3,3,2,5,5,1,0,1,1,1,0,1,1,1,3,0,3,4,3,6,4,3,0,4,4,2,0,2,2,3,1,0,0,0,0,0,0,1,1,0,0,1,1,1,3,0,0,0,0,1,0,1
"107",1,0,0,1,0,2,1,1,0,0,0,1,2,1,0,1,0,2,2,0,0,0,1,1,0,1,0,1,2,1,0,2,3,2,5,1,4,7,2,4,1,2,3,3,2,2,4,6,4,6,1,3,3,2,3,1,0,1,5,0,0,2,3,1,0,2,0,2,4,1,0,0,1,0,0,2,0,2,2,0,0
"109",1,2,2,6,4,2,1,2,6,4,0,2,0,0,0,1,0,0,2,0,0,1,1,1,0,0,1,1,5,5,1,2,1,5,6,1,0,1,1,0,0,1,2,1,0,1,1,1,1,2,1,1,1,5,6,0,1,1,6,4,1,1,0,1,0,0,2,1,1,0,1,2,3,2,0,1,1,3,6,5,0
"110",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,5,1,1,3,0,7,3,1,2,0,6,1,3,3,0,6,2,1,3,0,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"114",0,1,3,1,0,0,2,3,2,0,3,1,1,3,0,1,1,3,3,1,1,2,2,2,0,1,1,4,3,1,1,3,2,1,0,0,1,1,3,0,2,1,2,1,0,0,2,3,2,0,0,2,1,1,0,0,1,3,3,0,1,0,2,3,0,2,1,3,3,1,3,0,2,2,0,1,0,2,3,0,0
"117",1,2,5,5,0,1,2,4,2,0,0,2,3,4,0,2,1,3,3,0,2,4,1,2,1,0,5,3,3,1,3,5,2,2,0,1,4,2,2,0,0,1,0,2,0,0,2,3,3,0,0,2,3,5,0,1,2,3,2,0,2,1,3,4,1,2,2,3,2,0,1,2,3,0,1,3,3,6,6,0,0
"118",0,1,4,4,2,2,1,3,1,0,0,0,2,1,0,0,1,0,1,0,2,4,1,6,6,0,1,1,2,6,0,1,2,0,2,1,1,3,3,1,4,1,3,4,1,1,1,2,5,6,3,3,5,6,5,2,2,1,3,3,0,2,2,4,0,2,0,1,0,0,1,1,2,2,2,1,1,1,3,2,0
"119",1,2,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,2,2,0,0,1,1,1,0,0,0,1,0,0,0,0,2,1,0,4,1,5,5,3,1,0,1,3,0,0,0,2,2,1,2,3,3,2,5,1,2,3,2,6,3,1,4,4,5,2,2,3,4,6,3,2,3,5,7,3,2,2,4,6,0
"120",0,2,3,5,6,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,2,1,2,1,2,1,2,6,4,0,3,1,1,2,1,1,1,3,0,0,1,0,1,0,1,1,2,1,1,1,1,2,6,4,0,1,3,5,3,0,0,0,0,0,1,2,1,3,1,2,0,0,0,1,2,1,1,5,4,0
"122",1,1,1,3,2,2,2,1,6,4,0,1,0,0,0,0,0,2,1,0,0,1,0,1,0,2,1,1,5,3,1,1,2,2,0,1,0,1,2,0,1,0,0,1,0,0,1,1,2,0,2,1,3,6,3,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,2,1,2,3,2,2,0,0,0,1,0
